track,time,note_is_played,channel,notes,velocity
2,0, Note_on_c,9,36,84.0
2,0, Note_on_c,9,42,96.0
2,236, Note_on_c,9,38,61.0
2,236, Note_on_c,9,42,71.0
2,476, Note_on_c,9,36,84.0
2,476, Note_on_c,9,42,96.0
2,596, Note_on_c,9,36,66.0
2,716, Note_on_c,9,38,61.0
2,716, Note_on_c,9,42,71.0
2,956, Note_on_c,9,36,84.0
2,956, Note_on_c,9,42,96.0
2,1196, Note_on_c,9,38,61.0
2,1196, Note_on_c,9,42,71.0
2,1316, Note_on_c,9,36,66.0
2,1316, Note_on_c,9,82,53.0
2,1436, Note_on_c,9,42,96.0
2,1436, Note_on_c,9,82,96.0
2,1556, Note_on_c,9,36,66.0
2,1556, Note_on_c,9,82,53.0
2,1676, Note_on_c,9,38,61.0
2,1676, Note_on_c,9,42,71.0
2,1916, Note_on_c,9,36,84.0
2,2156, Note_on_c,9,38,61.0
2,2156, Note_on_c,9,42,71.0
2,2396, Note_on_c,9,36,84.0
2,2396, Note_on_c,9,42,96.0
2,2516, Note_on_c,9,36,66.0
2,2636, Note_on_c,9,38,61.0
2,2636, Note_on_c,9,42,71.0
2,2876, Note_on_c,9,36,84.0
2,2876, Note_on_c,9,42,96.0
2,3116, Note_on_c,9,38,61.0
2,3116, Note_on_c,9,42,71.0
2,3236, Note_on_c,9,36,66.0
2,3236, Note_on_c,9,82,53.0
2,3356, Note_on_c,9,42,96.0
2,3356, Note_on_c,9,82,96.0
2,3476, Note_on_c,9,36,66.0
2,3476, Note_on_c,9,82,53.0
2,3596, Note_on_c,9,38,61.0
2,3596, Note_on_c,9,42,71.0
2,3836, Note_on_c,9,36,84.0
2,4076, Note_on_c,9,38,61.0
2,4076, Note_on_c,9,42,71.0
2,4316, Note_on_c,9,36,84.0
2,4316, Note_on_c,9,42,96.0
2,4436, Note_on_c,9,36,66.0
2,4556, Note_on_c,9,38,61.0
2,4556, Note_on_c,9,42,71.0
2,4796, Note_on_c,9,36,84.0
2,4796, Note_on_c,9,42,96.0
2,5036, Note_on_c,9,38,61.0
2,5036, Note_on_c,9,42,71.0
2,5156, Note_on_c,9,36,66.0
2,5156, Note_on_c,9,82,53.0
2,5276, Note_on_c,9,42,96.0
2,5276, Note_on_c,9,82,96.0
2,5396, Note_on_c,9,36,66.0
2,5396, Note_on_c,9,82,53.0
2,5516, Note_on_c,9,38,61.0
2,5516, Note_on_c,9,42,71.0
2,5756, Note_on_c,9,36,84.0
2,5996, Note_on_c,9,38,61.0
2,5996, Note_on_c,9,42,71.0
2,6236, Note_on_c,9,36,84.0
2,6236, Note_on_c,9,42,96.0
2,6356, Note_on_c,9,36,66.0
2,6476, Note_on_c,9,38,61.0
2,6476, Note_on_c,9,42,71.0
2,6716, Note_on_c,9,36,84.0
2,6836, Note_on_c,9,38,43.0
2,6956, Note_on_c,9,38,61.0
2,6956, Note_on_c,9,42,71.0
2,7076, Note_on_c,9,45,68.0
2,7076, Note_on_c,9,82,53.0
2,7196, Note_on_c,9,42,96.0
2,7196, Note_on_c,9,45,86.0
2,7196, Note_on_c,9,82,96.0
2,7316, Note_on_c,9,43,68.0
2,7316, Note_on_c,9,82,53.0
2,7436, Note_on_c,9,41,83.0
2,7436, Note_on_c,9,42,71.0
2,7556, Note_on_c,9,38,43.0
